"primitive","field","count","min","max","mean","negatives","zeros"
"ChannelSteel","B","57","48","48","48.0000","0","0"
"ChannelSteel","D","57","5.3","5.3","5.3000","0","0"
"ChannelSteel","H","57","100","100","100.0000","0","0"
"ChannelSteel","L","129","99.9999999999973","469.999999999999","328.4521","0","0"
"ChannelSteel","T","57","8.5","8.5","8.5000","0","0"
"CircularGasket","H","80","8","70","57.5000","0","0"
"CircularGasket","IR","80","1","150","95.9500","0","0"
"CircularGasket","OR","80","60","190","164.8500","0","0"
"CircularGasket","Rad","80","3.14159265358979","6.28318530717958","5.9690","0","0"
"Cuboid","H","12401","1","5500","249.4115","0","0"
"Cuboid","L","12401","2","8350","275.4557","0","0"
"Cuboid","W","12401","2","6757","166.3116","0","0"
"Cylinder","H","20421","1","14500","167.1052","0","0"
"Cylinder","R","20421","1","650","92.1291","0","0"
"OffsetRectangularTable","H","15","10","10","10.0000","0","0"
"OffsetRectangularTable","LL","15","460","460","460.0000","0","0"
"OffsetRectangularTable","LW","15","210","210","210.0000","0","0"
"OffsetRectangularTable","TL","15","370","370","370.0000","0","0"
"OffsetRectangularTable","TW","15","120","120","120.0000","0","0"
"OffsetRectangularTable","XOFF","15","0","0","0.0000","0","15"
"OffsetRectangularTable","YOFF","15","0","0","0.0000","0","15"
"PorcelainBushing","H","1506","20","2848","331.5631","0","0"
"PorcelainBushing","N","1506","1","60","9.2530","0","0"
"PorcelainBushing","R","1506","15","150","42.6932","0","0"
"PorcelainBushing","R1","1506","20","230","68.5523","0","0"
"PorcelainBushing","R2","1506","18","200","63.2450","0","0"
"RectangularFixedPlate","CN","18","2","2","2.0000","0","0"
"RectangularFixedPlate","CS","18","270","270","270.0000","0","0"
"RectangularFixedPlate","D","18","20","20","20.0000","0","0"
"RectangularFixedPlate","L","18","326","326","326.0000","0","0"
"RectangularFixedPlate","MH","18","0","0","0.0000","0","18"
"RectangularFixedPlate","RN","18","2","2","2.0000","0","0"
"RectangularFixedPlate","RS","18","270","270","270.0000","0","0"
"RectangularFixedPlate","T","18","15","15","15.0000","0","0"
"RectangularFixedPlate","W","18","326","326","326.0000","0","0"
"RectangularRing","DR","1","3","3","3.0000","0","0"
"RectangularRing","L","1","120","120","120.0000","0","0"
"RectangularRing","R","1","30","30","30.0000","0","0"
"RectangularRing","W","1","71","71","71.0000","0","0"
"Ring","DR","235","10","224.9","35.9268","0","0"
"Ring","R","235","41","500","240.2213","0","0"
"Ring","Rad","235","1.5707963267949","6.28318530717958","5.0994","0","0"
"Sphere","R","141","4","235","65.6809","0","0"
"StretchedBody","L","10263","0.999999999999993","8110","226.8178","0","0"
"StretchedBody","Normal","3259","304.8","304.8","304.8000","0","0"
"Table","H","109","6","300","19.3211","0","0"
"Table","LL1","109","10","450","41.3761","0","0"
"Table","LL2","109","10","400","33.1193","0","0"
"Table","TL1","109","4","400","16.5505","0","0"
"Table","TL2","109","4","400","16.5505","0","0"
"TerminalBlock","BL","201","20","70","43.7313","0","0"
"TerminalBlock","CL","201","1","10","6.9104","0","0"
"TerminalBlock","CN","201","2","3","2.1343","0","0"
"TerminalBlock","CS","201","30","50","45.8209","0","0"
"TerminalBlock","L","201","81","240","153.5522","0","0"
"TerminalBlock","R","201","6","18","9.7313","0","0"
"TerminalBlock","RN","201","2","3","2.4478","0","0"
"TerminalBlock","RS","201","30","55","46.4925","0","0"
"TerminalBlock","T","201","8","20","17.6716","0","0"
"TerminalBlock","W","201","80","160","118.2297","0","0"
"TruncatedCone","BR","730","9","435","100.4493","0","0"
"TruncatedCone","H","730","2","247","45.2668","0","0"
"TruncatedCone","TR","730","0.1","385","76.9482","0","0"
